Word A, Relation, Word B, Sentence
information overload,recommender system,supportsOtherEntity,"The use of mobile devices in combination with the rapid growth of the internet has generated an information overload problem. Recommender systems is a necessity to decide which of the data are relevant to the user. "
information overload,recommender system,usesMethod,"The use of mobile devices in combination with the rapid growth of the internet has generated an information overload problem. Recommender systems is a necessity to decide which of the data are relevant to the user. "
information overload,recommender system,supportsOtherEntity,"With the explosive growth of online information, recommender systems play a key role to alleviate such information overload."
information overload,recommender system,usesMethod,"With the explosive growth of online information, recommender systems play a key role to alleviate such information overload."
information overload,recommender system,supportsOtherEntity,"Only few digital libraries and reference managers offer recommender systems, although such systems could assist users facing information overload."
information overload,recommender system,usesMethod,"Only few digital libraries and reference managers offer recommender systems, although such systems could assist users facing information overload."
information overload,recommender system,supportsOtherEntity,"Information overload is a serious problem in modern society and many solutions such as recommender system have been proposed to filter out irrelevant information."
information overload,recommender system,usesMethod,"Information overload is a serious problem in modern society and many solutions such as recommender system have been proposed to filter out irrelevant information."
information overload,recommender system,supportsOtherEntity,"Recommender systems have become an essential tool to help resolve the information overload problem in recent decades."
information overload,recommender system,usesMethod,"Recommender systems have become an essential tool to help resolve the information overload problem in recent decades."
information overload,recommender system,supportsOtherEntity,"The recommender system is one of the most promising ways to address the information overload problem in online systems."
information overload,recommender system,usesMethod,"The recommender system is one of the most promising ways to address the information overload problem in online systems."
information overload,recommender system,supportsOtherEntity,"Recommender systems have become a technology that has been widely used by various online applications in situations where there is an information overload problem."
information overload,recommender system,usesMethod,"Recommender systems have become a technology that has been widely used by various online applications in situations where there is an information overload problem."
information overload,recommender system,supportsOtherEntity,"Recommender systems have shown great potential to address information overload problem, namely to help users in finding interesting and relevant objects within a huge information space."
information overload,recommender system,usesMethod,"Recommender systems have shown great potential to address information overload problem, namely to help users in finding interesting and relevant objects within a huge information space."
information overload,recommender system,supportsOtherEntity,"Due to the rapid growth of information available about individual patients, most physicians suffer from information overload when they review patient information in health information technology systems. In this manuscript, we present a novel hybrid dynamic and multi-collaborative filtering method to improve information retrieval from electronic health records. This method recommends relevant information from electronic health records for physicians during patient visits. It models information search dynamics using a Markov model. It also leverages the key idea of collaborative filtering, originating from Recommender Systems, to prioritize information based on various similarities among physicians, patients and information items. "
information overload,recommender system,usesMethod,"Due to the rapid growth of information available about individual patients, most physicians suffer from information overload when they review patient information in health information technology systems. In this manuscript, we present a novel hybrid dynamic and multi-collaborative filtering method to improve information retrieval from electronic health records. This method recommends relevant information from electronic health records for physicians during patient visits. It models information search dynamics using a Markov model. It also leverages the key idea of collaborative filtering, originating from Recommender Systems, to prioritize information based on various similarities among physicians, patients and information items. "
information overload,recommender system,supportsOtherEntity,"Recommender System (RS) is currently an effective way to solve information overload."
information overload,recommender system,usesMethod,"Recommender System (RS) is currently an effective way to solve information overload."
information overload,recommender system,supportsOtherEntity,"Recommender systems attempt to reduce information overload and retain customers by selecting a subset of items from a universal set based on user preferences."
information overload,recommender system,usesMethod,"Recommender systems attempt to reduce information overload and retain customers by selecting a subset of items from a universal set based on user preferences."
information overload,recommender system,supportsOtherEntity,"With the ever-growing volume of online information, recommender systems have been an effective strategy to overcome such information overload."
information overload,recommender system,usesMethod,"With the ever-growing volume of online information, recommender systems have been an effective strategy to overcome such information overload."
information overload,recommender system,supportsOtherEntity,"Recommender systems are a vital tool that helps us to overcome the information overload problem."
information overload,recommender system,usesMethod,"Recommender systems are a vital tool that helps us to overcome the information overload problem."
information overload,recommender system,supportsOtherEntity,"Recommender systems are crucial to alleviate the information overload problem in online worlds."
information overload,recommender system,usesMethod,"Recommender systems are crucial to alleviate the information overload problem in online worlds."
information overload,recommender system,supportsOtherEntity,"Recommender systems have played a critical role in many web applications to meet user's personalized interests and alleviate the information overload."
information overload,recommender system,usesMethod,"Recommender systems have played a critical role in many web applications to meet user's personalized interests and alleviate the information overload."
information overload,recommender system,supportsOtherEntity,"Recommender Systems have been widely used to help users in finding what they are looking for thus tackling the information overload problem."
information overload,recommender system,usesMethod,"Recommender Systems have been widely used to help users in finding what they are looking for thus tackling the information overload problem."
information overload,recommender system,supportsOtherEntity,"Recommender systems are crucial tools to overcome the information overload brought about by the Internet."
information overload,recommender system,usesMethod,"Recommender systems are crucial tools to overcome the information overload brought about by the Internet."
information overload,recommender system,supportsOtherEntity,"Users of online dating sites are facing information overload that requires them to manually construct queries and browse huge amount of matching user profiles. This becomes even more problematic for multimedia profiles. Although matchmaking is frequently cited as a typical application for recommender systems, there is a surprising lack of work published in this area. "
information overload,recommender system,usesMethod,"Users of online dating sites are facing information overload that requires them to manually construct queries and browse huge amount of matching user profiles. This becomes even more problematic for multimedia profiles. Although matchmaking is frequently cited as a typical application for recommender systems, there is a surprising lack of work published in this area. "
information overload,recommender system,supportsOtherEntity,"Recommender systems help people cope with the problem of information overload."
information overload,recommender system,usesMethod,"Recommender systems help people cope with the problem of information overload."
information overload,recommender system,supportsOtherEntity,"News recommender systems are used by online news providers to alleviate information overload and to provide personalized content to users."
information overload,recommender system,usesMethod,"News recommender systems are used by online news providers to alleviate information overload and to provide personalized content to users."
information overload,recommender system,supportsOtherEntity,"As an effective way to alleviate information overload, recommender system can improve the quality of various services by adding application data generated by users on edge devices, such as visual and textual information, on the basis of sparse rating data."
information overload,recommender system,usesMethod,"As an effective way to alleviate information overload, recommender system can improve the quality of various services by adding application data generated by users on edge devices, such as visual and textual information, on the basis of sparse rating data."
information overload,recommender system,supportsOtherEntity,"Recommender systems help users deal with information overload by providing tailored item suggestions to them."
information overload,recommender system,usesMethod,"Recommender systems help users deal with information overload by providing tailored item suggestions to them."
information overload,recommender system,supportsOtherEntity,"Academic research largely focuses on the value of recommenders for consumers, e.g., in terms of reduced information overload. To what extent and in which ways recommender systems create business value is, however, much less clear, and the literature on the topic is scattered. "
information overload,recommender system,usesMethod,"Academic research largely focuses on the value of recommenders for consumers, e.g., in terms of reduced information overload. To what extent and in which ways recommender systems create business value is, however, much less clear, and the literature on the topic is scattered. "
information overload,recommender system,supportsOtherEntity,"People in the Internet era have to cope with the information overload, striving to find what they are interested in, and usually face this situation by following a limited number of sources or friends that best match their interests. A recent line of research, namely adaptive social recommendation, has therefore emerged to optimize the information propagation in social networks and provide users with personalized recommendations. Validation of these methods by agent-based simulations often assumes that the tastes of users and can be represented by binary vectors, with entries denoting users' preferences. In this work we introduce a more realistic assumption that users' tastes are modeled by multiple vectors. We show that within this framework the social recommendation process has a poor outcome. Accordingly, we design novel measures of users' taste similarity that can substantially improve the precision of the recommender system. "
information overload,recommender system,usesMethod,"People in the Internet era have to cope with the information overload, striving to find what they are interested in, and usually face this situation by following a limited number of sources or friends that best match their interests. A recent line of research, namely adaptive social recommendation, has therefore emerged to optimize the information propagation in social networks and provide users with personalized recommendations. Validation of these methods by agent-based simulations often assumes that the tastes of users and can be represented by binary vectors, with entries denoting users' preferences. In this work we introduce a more realistic assumption that users' tastes are modeled by multiple vectors. We show that within this framework the social recommendation process has a poor outcome. Accordingly, we design novel measures of users' taste similarity that can substantially improve the precision of the recommender system. "
information overload,recommender system,supportsOtherEntity,"Recommender systems play a crucial role in mitigating the problem of information overload by suggesting users' personalized items or services."
information overload,recommender system,usesMethod,"Recommender systems play a crucial role in mitigating the problem of information overload by suggesting users' personalized items or services."
information overload,recommender system,supportsOtherEntity,"Recommender systems can mitigate the information overload problem by suggesting users' personalized items."
information overload,recommender system,usesMethod,"Recommender systems can mitigate the information overload problem by suggesting users' personalized items."
information overload,recommender system,supportsOtherEntity,"As a pivotal tool to alleviate the information overload problem, recommender systems aim to predict user's preferred items from millions of candidates by analyzing observed user-item relations."
information overload,recommender system,usesMethod,"As a pivotal tool to alleviate the information overload problem, recommender systems aim to predict user's preferred items from millions of candidates by analyzing observed user-item relations."
information overload,recommender system,supportsOtherEntity,"Recommender systems play a crucial role in mitigating the problem of information overload by suggesting users' personalized items or services."
information overload,recommender system,usesMethod,"Recommender systems play a crucial role in mitigating the problem of information overload by suggesting users' personalized items or services."
information overload,recommender system,supportsOtherEntity,"In the information overloaded web, personalized recommender systems are essential tools to help users find most relevant information."
information overload,recommender system,usesMethod,"In the information overloaded web, personalized recommender systems are essential tools to help users find most relevant information."
information overload,recommender system,supportsOtherEntity,"Personalized news recommendation is an important technique to help users find their interested news information and alleviate their information overload. It has been extensively studied over decades and has achieved notable success in improving users' news reading experience. However, there are still many unsolved problems and challenges that need to be further studied. To help researchers master the advances in personalized news recommendation over the past years, in this paper we present a comprehensive overview of personalized news recommendation. Instead of following the conventional taxonomy of news recommendation methods, in this paper we propose a novel perspective to understand personalized news recommendation based on its core problems and the associated techniques and challenges. We first review the techniques for tackling each core problem in a personalized news recommender system and the challenges they face. "
information overload,recommender system,usesMethod,"Personalized news recommendation is an important technique to help users find their interested news information and alleviate their information overload. It has been extensively studied over decades and has achieved notable success in improving users' news reading experience. However, there are still many unsolved problems and challenges that need to be further studied. To help researchers master the advances in personalized news recommendation over the past years, in this paper we present a comprehensive overview of personalized news recommendation. Instead of following the conventional taxonomy of news recommendation methods, in this paper we propose a novel perspective to understand personalized news recommendation based on its core problems and the associated techniques and challenges. We first review the techniques for tackling each core problem in a personalized news recommender system and the challenges they face. "
information overload,recommender system,supportsOtherEntity,"Recommender systems (RSs) have been a widely exploited approach to solving the information overload problem."
information overload,recommender system,usesMethod,"Recommender systems (RSs) have been a widely exploited approach to solving the information overload problem."
information overload,recommender system,supportsOtherEntity,"With the incredibly growing amount of multimedia data shared on the social media platforms, recommender systems have become an important necessity to ease users' burden on the information overload."
information overload,recommender system,usesMethod,"With the incredibly growing amount of multimedia data shared on the social media platforms, recommender systems have become an important necessity to ease users' burden on the information overload."
information overload,recommender system,supportsOtherEntity,"Just like everybody else involved in information discovery, scholars are confronted with information overload. Two decades ago, this discovery process essentially consisted of paging through abstract books, talking to colleagues and librarians, and browsing journals. A time-consuming process, which could even be longer if material had to be shipped from elsewhere. Now much of this discovery process is mediated by online scholarly information systems. All these systems are relatively new, and all are still changing. They all share a common goal: to provide their users with access to the literature relevant to their specific needs. To achieve this each system responds to actions by the user by displaying articles which the system judges relevant to the user's current needs. Recently search systems which use particularly sophisticated methodologies to recommend a few specific papers to the user have been called "recommender systems". "
information overload,recommender system,usesMethod,"Just like everybody else involved in information discovery, scholars are confronted with information overload. Two decades ago, this discovery process essentially consisted of paging through abstract books, talking to colleagues and librarians, and browsing journals. A time-consuming process, which could even be longer if material had to be shipped from elsewhere. Now much of this discovery process is mediated by online scholarly information systems. All these systems are relatively new, and all are still changing. They all share a common goal: to provide their users with access to the literature relevant to their specific needs. To achieve this each system responds to actions by the user by displaying articles which the system judges relevant to the user's current needs. Recently search systems which use particularly sophisticated methodologies to recommend a few specific papers to the user have been called "recommender systems". "
information overload,recommender system,supportsOtherEntity,"In order to help users to find the right and relevant content, news recommender systems (NRS) are developed to relieve the information overload problem and suggest news items that users might be interested in."
information overload,recommender system,usesMethod,"In order to help users to find the right and relevant content, news recommender systems (NRS) are developed to relieve the information overload problem and suggest news items that users might be interested in."
information overload,recommender system,supportsOtherEntity,"Recommender systems benefit us in tackling the problem of information overload by predicting our potential choices among diverse niche objects."
information overload,recommender system,usesMethod,"Recommender systems benefit us in tackling the problem of information overload by predicting our potential choices among diverse niche objects."
information overload,recommender system,supportsOtherEntity,"This motivated researchers to provide Web personalized online services such as Web recommendations to alleviate the information overload problem and provide tailored Web experiences to the Web users. Recent studies show that Web usage mining has emerged as a popular approach in providing Web personalization. However conventional Web usage based recommender systems are limited in their ability to use the domain knowledge of the Web application. "
information overload,recommender system,usesMethod,"This motivated researchers to provide Web personalized online services such as Web recommendations to alleviate the information overload problem and provide tailored Web experiences to the Web users. Recent studies show that Web usage mining has emerged as a popular approach in providing Web personalization. However conventional Web usage based recommender systems are limited in their ability to use the domain knowledge of the Web application. "
information overload,recommender system,supportsOtherEntity,"Recommender system has attracted lots of attentions since it helps users alleviate the information overload problem."
information overload,recommender system,usesMethod,"Recommender system has attracted lots of attentions since it helps users alleviate the information overload problem."
information overload,recommender system,supportsOtherEntity,"There exist situations of decision-making under information overload in the Internet, where people have an overwhelming number of available options to choose from, e.g. products to buy in an e-commerce site, or restaurants to visit in a large city. Recommender systems arose as a data-driven personalized decision support tool to assist users in these situations: they are able to process user-related data, filtering and recommending items based on the users preferences, needs and/or behaviour. "
